"id","nama","gambar","tipe","deskripsi","created_at","updated_at"
"1","AC","1713967160.jpg","Fasilitas Kamar","AC merek LG yang dapat melakukan pendinginan ruangan secara cepat dan efisien, serta berbagai macam opsi untuk menyesuaikan tingkat kesejukan yang sesuai dengan kamu","2024-04-24 20:37:24","2024-04-24 20:59:20"
"2","Meja belajar","1713967042.jpg","Fasilitas Kamar","Meja belajar yang cocok untuk mu Para penghuni kost yang masih berstatus Mahasiswa atau pelajar. Dapat meningkatkan performa dan kenyamanan dalam belajar.","2024-04-24 20:37:24","2024-04-24 20:57:22"
"3","Kipas Angin","1713966956.jpg","Fasilitas Kamar","Kipas angin yang dapat menyejukkan seluruh bagian kamar, serta tidak terlalu banyak menimbulkan suara ketika di gunakan. Tenang dan menyejukkan.","2024-04-24 20:37:24","2024-04-24 20:55:56"
"4","Lemari","1713966810.jpeg","Fasilitas Kamar","Lemari yang terbuat dari kayu ini kokoh dan kuat, menjaga agar baju baju kamu tetap wangi meskipun di simpan di dalam lemari dalam waktu yang lama.","2024-04-24 20:37:24","2024-04-24 20:53:30"
"5","Kasur","1713966696.jpeg","Fasilitas Kamar","Kasur empuk dan lembut yang dapat meningkatkan kenyamanan mu sehingga membuatmu makin betah tinggal di kamar kost mu.","2024-04-24 20:37:24","2024-04-24 20:51:36"
"7","Wifi","1713966625.jpeg","Fasilitas Umum","Kami menyediakan Wifi untuk kamu yang membutuhkan koneksi internet tanpa batas untuk kebutuhan pekerjaan,hiburan, atau kebutuhan mu yang lainnya.","2024-04-24 20:37:24","2024-04-24 20:50:25"
"8","Dispenser","1713966478.jpeg","Fasilitas Kamar","Untuk kebutuhan di kamar kost, dispenser yang kecil dan sederhana akan sangat sesuai dengan kamar kost kamu. Dispenser air dingin tanpa fungsi pemanasan dapat menjadi pilihan yang baik untuk ruang dan kenyamanan kamu","2024-04-24 20:37:24","2024-04-24 20:47:58"
"9","Lahan Parkir","1713966352.jpeg","Fasilitas Umum","Lahan parkir yang cukup luas untuk memarkirkan kendaraan mu agar tidak terparkir sembarangan di pinggir jalan dan meminimalisir tindakan tindakan yang tidak di inginkan untuk mencegah kendaraanmu di curi","2024-04-24 20:37:24","2024-04-24 20:45:52"
"10","Televisi","1713966199.jpeg","Fasilitas Kamar","Sebuah model TV LG dengan layar LED atau LCD berukuran sekitar 32 hingga 43 inci adalah pilihan yang baik untuk kamar Kamu. TV Model  ini lebih terjangkau dan cocok untuk ruang yang lebih kecil dan cocok untuk kamar kost.","2024-04-24 20:37:24","2024-04-24 20:43:19"
"11","Cermin","1713967496.jpeg","Fasilitas Kamar","Cermin adalah fasilitas yang sangat cocok untuk kamar kost mu. Selain menambah sifat estetika, cermin dengan 1001 manfaatnya tentu akan memudahkan kehidupan sehari hari mu.","2024-04-24 21:04:56","2024-04-24 21:04:56"
"12","Gudang","1713967746.jpeg","Fasilitas Umum","Gudang dapat menyimpan barang barang yang tidak dapat kamu simpan di kamarmu, membuat kamarmu terasa lebih luas dan membuat kamu lebih nyaman","2024-04-24 21:09:06","2024-04-24 21:09:06"
"13","Rak Sepatu","1713967832.jpeg","Fasilitas Kamar","Tempat yang sangat cocok untuk menyimpan alas kakimu agar tidak berceceran di mana mana. membuat kamar dan tempat kost mu terlihat rapi dan bersih. Lebih enak di pandang","2024-04-24 21:10:32","2024-04-24 21:10:32"
